NO.,POC ID,POC NAME,REGION,LOCATION,BDR NAME ,,,,
56,0011n00001kFL44AAG,Salama bar,NORTH WEST,Bukoba Urban,Allen Tengia,,,,
57,0011n00001kFL4iAAG,Q bar ,NORTH WEST,Bukoba Urban,Mrumbi Mrumbi,,,,
58,0010Y00001Vy2jKQAR,Liquid,NORTH WEST,Bukoba Urban,Mrumbi Mrumbi,,,,
59,0011n00001kFL4AAAW,Kishari Bar,NORTH WEST,Bukoba Urban,Mrumbi Mrumbi,,,,
60,0011n00001kFL0bAAG,Cassanova,NORTH WEST,Bukoba Urban,Mrumbi Mrumbi,,,,
61,0010Y00001Vy2kNQAR,Chui Grocery ,NORTH WEST,Bukoba Urban,Mrumbi Mrumbi,,,,
62,0010Y00001YYib7QAD,New Neema Pub,NORTH WEST,Kemondo,Mrumbi Mrumbi,,,,
63,0011n00001kFKz9AAG,Bukoba Club,NORTH WEST,Bukoba Urban,Mrumbi Mrumbi,,,,
64,0010Y00001YYXItQAP,Hill top lodge,NORTH WEST,Karagwe,Didas Kimaro,,,,
65,0010Y00001YYTZtQAP,Bondeni pub,NORTH WEST,Karagwe,Didas Kimaro,,,,
66,0010Y00001YYUmAQAX,Diana Annex,NORTH WEST,Karagwe,Didas Kimaro,,,,
67,0010Y00001YYefTQAT,mapinduzi grocery,NORTH WEST,Karagwe,Didas Kimaro,,,,
68,0010Y00001YYhuwQAD,mwasy grocery,NORTH WEST,Karagwe,Didas Kimaro,,,,
69,0010Y00001YYpQdQAL,upendo hotel,NORTH WEST,Muleba,Joachim Zacharia,,,,
70,0010Y00001YYYVKQA5,kaboya freedom investment,NORTH WEST,Muleba,Joachim Zacharia,,,,
71,0011i00000JnWmyAAF,One lounge,NORTH WEST,Kigoma,Hendry Yuda Martini,,,,
72,0011n00001km8NAAAY,New Break Point Bar,NORTH WEST,Kigoma,Hendry Yuda Martini,,,,
73,0011n00001km8QiAAI,G pub,NORTH WEST,Kigoma,Hendry Yuda Martini,,,,
74,0011n00001sQjyuAAC,Kigoma Park,NORTH WEST,Kigoma,Hendry Yuda Martini,,,,
75,0010Y00001YYiBxQAL,NBC Bar,NORTH WEST,Kibondo,Amri Selemani,,,,
76,0010Y00001YYZ8gQAH,Kibodeko Bar,NORTH WEST,Kibondo,Amri selemani,,,,
77,0010Y00001YYjm6QAD,Pentagon Hotel,NORTH WEST,Kibondo,Amri selemani,,,,
78,0010Y00001YYVidQAH,G Pub,NORTH WEST,Kasulu,Jeremia Kimaro,,,,
79,0010Y00001YYotUQAT ,Top Ten Pub,NORTH WEST,Kasulu,jeremia kimaro,,,,
80,0011n00001sPcK8AAK ,Glonency Hotel ,NORTH WEST,Kasulu,Jeremia kimaro,,,,
